nom_grup, nom_canço, lletra
"el-tec-i-la-teca-2","la-llei-del-plaer","saltar per la finestra?
hi ha un bon tros d'aquí a baix,
la gent ens sentirà.
Però això ho hem d'arreglar
a soles tu i jo,
en un lloc on els crits
són la llei del plaer.
No deixo de pensar
com ens podrem frenar,
ara no és el moment,
potser demà, potser demà.
Avui no hi ha ni déu,
crec que podré arribar,
però no em toquis, que cremes
i em faries caure!, caure!
Per què em claves els ulls
d'aquesta forma estranya?
per què tanques el llum
i em mossegues les mans?
No deixo de pensar
què farem a la nit,
tots dos sobre el llit,
provant els cinc sentits.
No deixo de pensar
com ens podrem frenar,
és la llei del plaer.
Deixa'm sortir del llit,
perquè em tens lligat,
jo no sé què em vols fer,
però estàs molt excitada.
Però això ho hem d'arreglar
a soles tu i jo,
en un lloc on els crits
són la llei del plaer."
"el-tec-i-la-teca-3","la-revolta","amb una calda asfixiant,
jo arribava de fer carretera
i cansat vaig anar a un bar.
Quan darrera meu
va entrar una mossa imponent,
tothom es girava,
mirant el seu cos calent.
Els seus ulls brillaven,
com foc que crema l'aire,
el seu cos calent,
ella s'acariciava.
Molt tranquil.la va anar cap al riu,
com si es volgués banyar,
tot el poble era allà amagat,
esperant el gran moment.
I sense manies
aquella flor es despullava
i allà d'entre els arbres
la revolta va esclatar.
Els seus ulls brillaven,
com foc que crema l'aire,
el seu cos calent,
ella s'acariciava."
"entre-linies","anima-viatgera","No vull pensar-hi més,
ets lluny d'aquí,
començo a escriure cartes
que mai no podràs llegir.
Quan vas marxar,
no em preguntava res,
però ara veig les teves passes,
veig amb la teva mirada,
sento el que tu sents.
No puc descriure't
la meva presó,
he construït un mur
amb els records
que encara tinc.
Quan vas marxar,
no vaig poder plorar,
però ara em cega l'esperança,
la il·lusió de tornar a veure't,
vull ser on tu ets.
Sé que em voldràs esperar,
que veuré la mateixa llum blanca,
vull saber què vas sentir,
quan volaves damunt meu.
Ànima viatgera, ànima viatgera.
El temps m'ha convertit
en un esclau,
em costa viure, sense saber
quant fa que no hi ets.
Somio que les hores són segons,
que les agulles del rellotge
són com les d'una ruleta,
quan s'aturaran?
Sé que em voldràs esperar,
que veuré la mateixa llum blanca,
vull saber què vas sentir,
quan volaves damunt meu."
"entre-linies","blanques-llums","Són blanques, són falses llums,
són blanques, falses llums.
Van brillant per damunt teu
moltes estranyes llums,
no saps on estàs,
però tu no saps què fas!
Creus que pots jugar i guanyar,
potser ja t'has perdut,
tu t'has perdut.
Oh!, sols són blanques llums,
sols són falses.
La claredat s'amaga,
aquell nom es destrueix,
tu sembles una estàtua,
sense sentiments,
sense pensaments.
Creus que pots jugar i guanyar,
potser ja t'has perdut.
Oh!, sols són blanques llums,
sols són falses."
"entre-linies","deixam-despertar","Recorda aquella nit,
curiositat dins teu,
paraules que no afirmen res.
Deies: 'no està bé',
que tot estava mort,
mirades al voltant
que et fan sentir important.
I avui no sé ni on estàs,
la gent m'incita a creure
que mai no ens hem tocat.
Deixa'm despertar,
lluito per guanyar,
no parlis, no em confonguis més.
Deixa'm despertar,
lluito per lluitar,
no sé ni si estic bé amb tu.
L'habitació és just al fons,
però tu no hi vols anar,
el meu cos no pot més,
però em segueixes mirant.
Un sol fals moviment
pot desencadenar
una guerra entre instints
que no suportaràs.
I avui no sé ni on estàs,
la gent m'incita a creure
que mai no ens hem tocat."
"entre-linies","dins-el-cercle","Mira-ho des de dalt
i digue'm què has vist,
potser algú és diferent
o són com sempre?
'Distant i fosc el lloc,
no podia observar,
no hi ha llum a la nit',
ell deia sempre.
I mentre seguia pensant inquiet,
ell al davant i aquell món als peus,
mai somiava despert,
era un àngel caigut entre els déus.
No sé on van, no sé qui són,
hem caigut fora de temps, enrere,
hem caigut dins el cercle,
sense cap motiu.
Seguirà intentant
creure en els 'demés',
mirava d'oblidar
que ell era diferent.
Dins el cercle
està lligat entre opinions,
no el deixen avançar,
per a ell tot ha acabat.
Dins el cercle, dins el cercle.
Mira-ho des de dalt
i digue'm què has vist,
potser algú és diferent
o són com sempre?"
"entre-linies","entre-linies","Si entre línies
has trobat el teu nom,
fixa-t'hi bé,
pensa que poden influir
en el teu entorn,
depèn de tu.
Si amb la imatge
sempre t'estan marcant,
camina damunt les veus
i no oblidis que tu
ets més important
que qualsevol opinió.
Si amb productes
t'estan sempre atacant,
tu tanca els ulls,
potser pots arribar
a sortir d'aquest món,
marcat pel que tu fas.
Si hi ha grafismes
que no pots suportar,
esborra'ls del cap
i les notícies
que no són interessants
oblida-les.
Entre línies, entre línies.
Si entre línies
has trobat el teu nom,
fixa-t'hi bé,
pensa que poden influir
en el teu entorn,
depèn de tu.
Quan les paraules hagis aturat,
podràs sortir,
quan les imatges s'hagin aturat,
podrem sortir.
Entre línies, entre línies.
Quan les paraules hagis aturat,
podràs sortir,
quan les imatges s'hagin aturat,
podrem sortir.
Camina damunt línies."
"entre-linies","la-ciutat-dorm","Ha arribat més enllà
de la línia marcada,
han volat massa alt
les seves ales trencades.
Una nit més
que ella busca per no res,
perduda entre il·lusions,
el temps l'enganya un cop més.
Perduda entre la ciutat,
segueix lluitant amb l'aire,
buscant les mirades d'algú,
la gent s'aparta i s'amaga.
No existeix cap lloc on pugui anar,
la llum comença a entrar,
però descobreix que ha despertat.
Mentre la ciutat dorm,
ella busca entre els seus records,
mentre la ciutat dorm,
ella troba els seus errors,
mentre la ciutat dorm,
ella em buscava.
Ha arribat més enllà
de la línia marcada,
han volat massa alt
les seves ales trencades.
Mentre la ciutat dorm,
ella dorm, ella dorm."
"entre-linies","lhome-de-color","Buscant les passes trencades
darrera l'estació,
cercant pistes enterrades
sota qualsevol lloc.
Mirant les cares marcades,
buscant l'home de color,
no trobo el que esperava
i tot acaba allà al fons.
Paraules extraviades
que escolto pels racons,
darrera segueix l'estàtua
i continua observant.
Imatges vàries estranyes
que topen al meu cos,
mirades fredes clavades
dins el meu pensament.
Buscant l'home de color,
perdut a l'evolució,
buscant les línies d'algú
que no troben al final,
buscant l'home de color,
perdut a l'evolució.
Colors brillant al seu rostre,
marcat per sempre més,
mirada blanca als seus ulls,
penetra entre les parets.
L'aigua cau entre les llums,
no deixa veure els carrers,
ha començat la llegenda
dins el meu pensament.
Cada pas al seu ritme,
cada so un record,
paraules que no m'atrapen,
llums que no són al seu lloc.
Darrera algú m'agafa,
però només hi ha un desert,
línies perdudes per l'aire,
disparant al meu cap.
Buscant l'home de color,
perdut a l'evolució,
buscant les línies d'algú
que no troben al final,
buscant l'home de color,
perdut a l'evolució."
"entre-linies","omissio","Ha mort algú,
no podré dir per què,
davant meu hi ha paraules
que no donen solucions,
comprensió, que lluny és l'amor!
Hi ha un món fet tres,
hi ha gent que no apareix,
dolor i fam són dos fills nostres,
mentre hi ha omissió.
Tothom dorm, no vull pas dormir.
Paguem armes per matar innocents,
ningú vol fer-hi res,
'alambrades' creuen els carrers,
mentre hi ha omissió.
Hi ha dos noms
que parlen pels 'demés',
que lluiten entre ells,
per tal que el dia
sigui un xic més llarg,
però això és fals,
no hi pots creure mai.
Hi ha un món fet tres,
hi ha gent que no apareix,
dolor i fam són dos fills nostres,
mentre hi ha omissió."
